epoch,train_loss,val_loss
1,0.622282,0.681578
2,0.564118,0.678958
3,0.525336,0.560627
4,0.394474,0.360947
5,0.336163,0.366313
6,0.306145,0.324156
7,0.290759,0.387694
8,0.263222,0.343173
9,0.252834,0.346739
10,0.241878,0.347520
11,0.221981,0.362260
12,0.207615,0.575876
13,0.205000,0.329240
14,0.210257,0.350734
15,0.192093,0.519947
16,0.192316,0.434252
17,0.180380,0.495478
18,0.187106,0.380967
19,0.183093,0.549822
20,0.182269,0.474755
21,0.178998,0.512120
22,0.178388,0.452081
23,0.166636,0.509874
24,0.177176,0.423674
25,0.165735,0.581382
26,0.162006,0.435914
27,0.165132,0.424458
28,0.162668,0.463294
29,0.163540,0.572258
30,0.172724,0.544367
